% variance explained,predictors,conditions,patient,chanels,nature
22.126268032925157,envelope,3l,p02,p02_H'_7_8,real
34.65823223956262,envelope,3l,p02,p02_H'_8_9,real
39.62538271759658,envelope,3l,p02,p02_H'_9_10,real
54.0813638720947,envelope,3l,p02,p02_H'_10_11,real
-4.5232253539933795,envelope,3l,p02,p02_H'_11_12,real
-3.1237356237477,envelope,3l,p02,p02_H'_12_13,real
5.85866180279003,envelope,3l,p02,p02_Im'_5_6,real
8.99229008924326,envelope,3l,p02,p02_Im'_6_7,real
-1.27597406146425,envelope,3l,p02,p02_Im'_7_8,real
16.60008902075757,envelope,3l,p02,p02_Ip_1_2,real
-1.22057528024761,envelope,3l,p02,p02_Ip'_7_8,real
8.70772702110111,envelope,3l,p02,p02_OF_12_13,real
-3.76575041957483,envelope,3m,p02,p02_H_5_6,real
22.540219460767,envelope,3m,p02,p02_H_6_7,real
21.65950240794627,envelope,3m,p02,p02_H_7_8,real
9.33747268088379,envelope,3m,p02,p02_H_8_9,real
17.48371896351389,envelope,3m,p02,p02_H_9_10,real
27.05390106450698,envelope,3m,p02,p02_H_10_11,real
17.54634412496791,envelope,3m,p02,p02_H_11_12,real
19.928557146799637,envelope,3m,p02,p02_H_12_13,real
16.62290541436478,envelope,3m,p02,p02_H_13_14,real
14.75348105697057,envelope,3m,p02,p02_H_14_15,real
9.435869032607389,envelope,3m,p02,p02_H'_5_6,real
16.06928106371577,envelope,3m,p02,p02_H'_6_7,real
20.53843027749518,envelope,3m,p02,p02_H'_7_8,real
33.312934210702835,envelope,3m,p02,p02_H'_8_9,real
40.32697198533622,envelope,3m,p02,p02_H'_9_10,real
47.991891120486954,envelope,3m,p02,p02_H'_10_11,real
9.26065366290475,envelope,3m,p02,p02_H'_11_12,real
2.5887268229838103,envelope,3m,p02,p02_H'_12_13,real
8.33331273932767,envelope,3m,p02,p02_Im'_5_6,real
24.56671677475209,envelope,3m,p02,p02_Im'_6_7,real
6.598561454863259,envelope,3m,p02,p02_Im'_7_8,real
4.27368605095226,envelope,3m,p02,p02_Ip_1_2,real
9.140338024679261,envelope,3m,p02,p02_Ip'_7_8,real
9.10837737422301,envelope,3m,p02,p02_OF_12_13,real
6.2556223379542795,envelope,3h,p02,p02_H_5_6,real
30.43925591680526,envelope,3h,p02,p02_H_6_7,real
28.172979942296422,envelope,3h,p02,p02_H_7_8,real
19.50179437046626,envelope,3h,p02,p02_H_8_9,real
3.67590983471904,envelope,3h,p02,p02_H_9_10,real
22.05116674168092,envelope,3h,p02,p02_H_10_11,real
18.049412952287742,envelope,3h,p02,p02_H_11_12,real
23.618281498979098,envelope,3h,p02,p02_H_12_13,real
12.38776388877608,envelope,3h,p02,p02_H_13_14,real
20.091066559689132,envelope,3h,p02,p02_H_14_15,real
14.53782156381834,envelope,3h,p02,p02_H'_5_6,real
15.469240687657901,envelope,3h,p02,p02_H'_6_7,real
28.07986054258114,envelope,3h,p02,p02_H'_7_8,real
42.57984326778418,envelope,3h,p02,p02_H'_8_9,real
41.28263074229571,envelope,3h,p02,p02_H'_9_10,real
54.25578416790972,envelope,3h,p02,p02_H'_10_11,real
1.35057170449418,envelope,3h,p02,p02_H'_11_12,real
3.6238072310591596,envelope,3h,p02,p02_H'_12_13,real
9.89291876897574,envelope,3h,p02,p02_Im'_5_6,real
18.987974356175812,envelope,3h,p02,p02_Im'_6_7,real
0.18748782054423,envelope,3h,p02,p02_Im'_7_8,real
9.18395160377337,envelope,3h,p02,p02_Ip_1_2,real
-0.67280344134839,envelope,3h,p02,p02_Ip'_7_8,real
15.73853575897403,envelope,3h,p02,p02_OF_12_13,real
-0.32245364017211,envelope,6l,p02,p02_H_5_6,real
22.41533802011806,envelope,6l,p02,p02_H_6_7,real
6.47563471528292,envelope,6l,p02,p02_H_7_8,real
8.66100627569526,envelope,6l,p02,p02_H_8_9,real
8.75621575616854,envelope,6l,p02,p02_H_9_10,real
3.9989033493451895,envelope,6l,p02,p02_H_10_11,real
18.29219708777834,envelope,6l,p02,p02_H_11_12,real
21.25803062684275,envelope,6l,p02,p02_H_12_13,real
5.97607714114431,envelope,6l,p02,p02_H_13_14,real
19.967252904348808,envelope,6l,p02,p02_H_14_15,real
3.89226032873381,envelope,6l,p02,p02_H'_5_6,real
4.05280246532024,envelope,6l,p02,p02_H'_6_7,real
11.85017931479841,envelope,6l,p02,p02_H'_7_8,real
11.72134190603385,envelope,6l,p02,p02_H'_8_9,real
21.59301476276392,envelope,6l,p02,p02_H'_9_10,real
30.84482892501615,envelope,6l,p02,p02_H'_10_11,real
-6.31071870677125,envelope,6l,p02,p02_H'_11_12,real
4.57985111364712,envelope,6l,p02,p02_H'_12_13,real
0.042396011528050004,envelope,6l,p02,p02_Im'_5_6,real
18.87861045794998,envelope,6l,p02,p02_Im'_6_7,real
1.3916942467656002,envelope,6l,p02,p02_Im'_7_8,real
